Firma;997932.0;1;
Meinung;993163.0;1;
Raum;991438.0;1;
Möglichkeit;982960.0;1;
Bank;982860.0;1;
Liste;970558.571516824;1;
Preis;970129.778613026;1;
Autor;968808.0;1;
York;968363.0;1;
Stück;967690.0;1;
Bayern;964021.83391557;1;
Bedeutung;957329.0;1;
künftig;954965.0;1;
Unterstützung;953890.0;1;
Kind;953740.0;1;
Punkt;942969.170879266;1;
meist;938417.0;1;
Antrag;937145.0;1;
Verlag;931552.160890304;1;
alle;929881.156801883;1;
Publikum;929080.0;1;
direkt;929060.0;1;
Bau;928743.037746015;1;
tatsächlich;920715.0;1;
Paul;920373.0;1;
Hälfte;920364.350065985;1;
Kopf;916610.306119001;1;
Jürgen;909759.44435903;1;
Interesse;909324.0;1;
Geburtstag;909159.0;1;
Führung;908760.0;1;
Auto;908480.0;1;
Werk;905781.0;1;
Friedrich;898245.0;1;
Beitrag;896608.0;1;
Werner;892769.0;1;
Opfer;890092.0;1;
London;888505.0;1;
Zusammenarbeit;875551.0;1;
Bühne;874486.0;1;
Walter;874073.0;1;
Krieg;871691.297655968;1;
Sicherheit;869630.0;1;
gehen;865523.787857375;1;
Stefan;861136.0;1;
Angebot;857812.0;1;
Bericht;857111.37444776;1;
mein;856207.813109771;1;
Name;848278.0;1;
Johann;847602.0;1;
endlich;847227.012654112;1;
jemand;846856.0;1;
Kampf;846128.0;1;
Druck;845821.0;1;
Alter;843536.571055655;1;
Tochter;839816.0;1;
Zürich;839397.0;1;
groß;838817.917394784;1;
Satz;838086.0;1;
Nürnberg;837194.0;1;
Minute;828774.520888002;1;
Robert;822972.152229614;1;
Aufgabe;820633.0;1;
finden;817817.31433493;1;
Sprache;817039.0;1;
Gespräch;815130.0;1;
Gericht;813432.64272106;1;
Vergleich;812940.0;1;
offen;812271.920969251;1;
Josef;811774.0;1;
Tor;807961.930299117;1;
Staat;805677.0;1;
Gebäude;805100.0;1;
Reihe;803879.814036973;1;
Gerhard;803681.0;1;
Leiter;803075.0;1;
Köln;794798.0;1;
Kultur;794411.0;1;
Stuttgart;793751.379546156;1;
Zusammenhang;790392.0;1;
Museum;789563.0;1;
Kraft;789423.122050251;1;
Idee;785273.0;1;
China;783489.0;1;
Künstler;781634.0;1;
lassen;778617.406752258;1;
Runde;778139.244756175;1;
führen;777967.78696856;1;
Italien;774618.435903057;1;
Theater;774348.0;1;
Frank;769176.276561092;1;
Begriff;767836.258626978;1;
schön;767333.782359365;1;
Liebe;765729.524753202;1;
Redaktion;765087.0;1;
John;763756.0;1;
Wert;762509.20080199;1;
Start;759629.207408217;1;
niemand;758934.0;1;
Mehrheit;758312.0;1;
Zuschauer;753535.0;1;
Gesetz;753098.0;1;
Lösung;751606.0;1;
Schritt;746732.036388995;1;
Rede;745492.464130019;1;
Glück;742417.0;1;
Stunde;741075.472051997;1;
Gegner;738595.0;1;
Bund;737816.0;1;
Veröffentlichung;733566.0;1;
Veranstaltung;733351.0;1;
Schmidt;724538.0;1;
Herbst;719289.993365032;1;
Sprecher;718791.0;1;
Boden;717246.856077003;1;
Teilnehmer;713612.0;1;
Angst;712347.0;1;
Georg;712220.0;1;
Partie;712184.0;1;
voll;711059.301753397;1;
Ausbildung;708794.0;1;
Chef;708682.0;1;
machen;705896.516226424;1;
Jugendliche;705672.921799867;1;
Vertreter;704326.0;1;
Leistung;701228.0;1;
erfolgreich;701137.0;1;
Helmut;699540.0;1;
Meister;693243.263283895;1;
Linie;692868.0;1;
Betrieb;690248.736629983;1;
Person;685717.0;1;
Wilhelm;683464.0;1;
Besuch;682209.0;1;
Feuerwehr;680052.0;1;
Verfahren;673383.368342023;1;
Stand;673036.30248203;1;
Heinrich;670551.977597131;1;
zufrieden;669948.200661827;1;
Leitung;669906.0;1;
Sport;669430.441854544;1;
Mensch;668566.0;1;
Alexander;663997.0;1;
Mittel;663774.221699011;1;
Bahn;662612.0;1;
Dieter;660236.0;1;
Gefahr;655640.0;1;
Text;653316.0;1;
Vorsitzende;652726.581379069;1;
Hannover;652673.0;1;
gleichzeitig;652592.0;1;
David;651628.0;1;
tätig;651355.256788867;1;
Sinn;650560.0;1;
Parlament;650256.466222998;1;
Fehler;648002.0;1;
Gebiet;647616.311329005;1;
Vertrag;646848.0;1;
GmbH;645607.0;1;
Sitzung;645434.0;1;
Aktion;644284.0;1;
falsch;643431.30684643;1;
Rang;642236.867288152;1;
Mannheim;641156.351692385;1;
Fischer;640799.5144045;1;
wissen;639931.883142729;1;
Hintergrund;638499.0;1;
Roman;638270.0;1;
häufig;634786.0;1;
Lehrer;631775.0;1;
Vergangenheit;629619.0;1;
Antwort;628191.160912294;1;
Bonn;628041.0;1;
Karriere;627991.0;1;
wollen;625885.534222431;1;
Konzert;625204.861389971;1;
Quelle;622807.742555453;1;
Motto;622678.0;1;
Konzept;622317.725517021;1;
Osten;621321.814709998;1;
Christoph;620864.0;1;
Monat;620858.0;1;
entfernt;620449.093460228;1;
Dorf;619630.0;1;
Manfred;619336.0;1;
Licht;618080.475104987;1;
Minister;617695.587043996;1;
Otto;617003.0;1;
Streit;615045.0;1;
Rennen;614940.219749013;1;
weltweit;613173.0;1;
Gewalt;610715.440477074;1;
Täter;610646.0;1;
sehen;609844.865920078;1;
System;609707.0;1;
Luft;608961.425134007;1;
Vorstand;607209.758484052;1;
Koalition;606546.0;1;
Daniel;603765.0;1;
Öffentlichkeit;603520.0;1;
Urteil;603017.0;1;
Abschnitt;597015.955626036;1;
Treffen;595497.270478875;1;
Freude;594849.0;1;
stellen;594609.058185689;1;
schlecht;594583.688207613;1;
Hermann;586797.0;1;
Einwohner;585874.0;1;
selten;585553.0;1;
Winter;585274.0;1;
Bildung;585038.0;1;
Bremen;584367.700520335;1;
Nummer;583982.0;1;
Strecke;583419.170900016;1;
Zentrum;582642.0;1;
Datei;581949.0;1;
Verantwortung;581644.0;1;
alt;580924.0;1;
Tat;579278.419239004;1;
Liga;578367.0;1;
Fraktion;575587.0;1;
Insel;573609.0;1;
Anteil;570143.032259996;1;
Professor;569234.0;1;
Polen;568638.220760186;1;
geben;567497.291314846;1;
Zeichen;566989.56309799;1;
Gott;566465.0;1;
Spaß;566373.0;1;
Macht;566265.049608042;1;
Ausland;565834.0;1;
Auftrag;564056.0;1;
Pause;563938.626164996;1;
Richard;563208.0;1;
Organisation;562634.0;1;
täglich;562558.0;1;
Hauptstadt;560719.0;1;
Serie;560461.0;1;
stehen;559624.592298005;1;
Verwaltung;559043.0;1;
Rat;558804.093218983;1;
Spitze;557546.102616168;1;
Jan;554354.566577953;1;
Grad;553693.0;1;
Qualität;551718.0;1;
spielen;551435.43445664;1;
notwendig;549303.0;1;
Niederlage;548295.0;1;
Schauspieler;548276.0;1;
Engagement;548254.417058985;1;
Menge;547434.264796997;1;
Vorjahr;547379.0;1;
jährlich;545667.0;1;
Eindruck;543578.0;1;
Position;542764.0;1;
vermutlich;542103.0;1;
Moment;540958.53148198;1;
Hoffnung;539744.0;1;
verhindern;539107.291592894;1;
zeigen;538668.620795325;1;
Verkehr;538219.0;1;
Wohnung;537376.0;1;
Wettbewerb;535507.0;1;
Finale;534066.368000983;1;
Schutz;533517.0;1;
ziemlich;532506.749114985;1;
Stimme;532354.087618988;1;
plötzlich;531766.0;1;
Debatte;531728.080293012;1;
Suche;531381.576578878;1;
Israel;529755.0;1;
Vorschlag;529460.0;1;
Bernd;528282.0;1;
Republik;526688.858725014;1;
Spanien;525502.340909954;1;
Ansicht;524762.563047991;1;
Ball;523859.0;1;
nötig;523455.368739953;1;
Verbindung;523412.0;1;
Jörg;523209.0;1;
Washington;522886.0;1;
Studie;522848.0;1;
Stimmung;521624.0;1;
Münchner;519891.0;1;
Leipzig;518407.310963871;1;
Aussage;518078.508525005;1;
See;518047.280152839;1;
Japan;517917.0;1;
Schneider;517482.513583827;1;
Ludwig;517462.408348029;1;
Nachfolger;517360.0;1;
Kurt;516736.907750948;1;
Merkel;514384.0;1;
Norden;513651.991887997;1;
Initiative;513645.532043757;1;
Ulrich;513566.0;1;
Grenze;513182.068172004;1;
aktiv;512260.0;1;
Staatsanwaltschaft;511128.0;1;
Geschäft;509134.250939996;1;
Dienst;508463.451636994;1;
Kontakt;508430.416891056;1;
nehmen;508406.463414348;1;
Bewegung;507331.0;1;
Partner;505134.0;1;
Gegensatz;504261.0;1;
Herbert;503760.161004208;1;
Gelegenheit;502881.0;1;
Technik;502111.0;1;
Musiker;502046.0;1;
beide;501708.965899861;1;
Rudolf;501195.0;1;
Krise;500593.0;1;
Einführung;500435.0;1;
unbedingt;500330.0;1;
Energie;499372.0;1;
Morgen;498489.670653246;1;
viel;497809.925715048;1;
Verkauf;497525.0;1;
Hotel;497195.0;1;
Auftritt;496586.539197005;1;
verantwortlich;495879.0;1;
Drittel;495322.012994144;1;
Schröder;495320.0;1;
Horst;493648.654807728;1;
Armee;491867.0;1;
Produktion;490973.0;1;
Erfahrung;489300.0;1;
Erde;489117.627040997;1;
Tisch;485528.0;1;
Wetter;484538.0;1;
Bahnhof;483240.0;1;
Opposition;482384.0;1;
Tür;482325.0;1;
relativ;482294.0;1;
Schaden;482033.674907097;1;
Kurs;480437.0;1;
Süden;480362.695033;1;
Kollege;479633.0;1;
Sonne;479308.080180006;1;
Wunsch;479228.0;1;
Gast;477827.724195007;1;
Auswahl;477440.0;1;
früh;476449.0;1;
halten;476443.596681981;1;
Kanton;476249.0;1;
Interview;475402.0;1;
Bruder;475154.0;1;
Fernsehen;475111.232073012;1;
Gesicht;474895.890252002;1;
